id,price,carat,floored_carat,price_per_carat,cut,color,clarity
10086429,400,0.3,0,1333,Very Good,J,SI2
10083437,400,0.3,0,1333,Ideal,I,SI2
10086507,410,0.3,0,1367,Ideal,J,SI2
10083288,410,0.3,0,1367,Very Good,J,SI2
10055476,410,0.3,0,1367,Ideal,J,SI1
10086105,410,0.3,0,1367,Very Good,J,SI2
10082791,410,0.3,0,1367,Very Good,I,SI2
10084879,410,0.3,0,1367,Very Good,J,SI2
10087558,410,0.3,0,1367,Very Good,J,SI2
10083170,410,0.3,0,1367,Very Good,J,SI1
10084818,410,0.3,0,1367,Very Good,J,SI2
10087239,410,0.3,0,1367,Very Good,F,SI2
10085677,420,0.33,0,1273,Super Ideal,J,SI2
10078896,420,0.3,0,1400,Very Good,I,SI2
10084000,420,0.3,0,1400,Very Good,J,SI2
10083255,420,0.38,0,1105,Very Good,J,SI1
10086394,420,0.3,0,1400,Super Ideal,I,SI2
10085531,420,0.3,0,1400,Very Good,J,SI2
10085242,420,0.33,0,1273,Very Good,I,SI2
10083855,420,0.3,0,1400,Very Good,J,SI1
10085658,420,0.3,0,1400,Ideal,I,SI1
10084951,420,0.3,0,1400,Very Good,J,SI1
10083303,430,0.31,0,1387,Super Ideal,I,SI1
10086230,430,0.3,0,1433,Very Good,I,SI1
10082181,430,0.3,0,1433,Super Ideal,I,SI2
10082715,430,0.3,0,1433,Ideal,G,SI2
10086414,430,0.3,0,1433,Very Good,J,VS2
10082854,430,0.31,0,1387,Super Ideal,I,SI2
10021227,430,0.3,0,1433,Super Ideal,I,SI1
10085576,430,0.3,0,1433,Super Ideal,J,SI1
10086541,430,0.3,0,1433,Super Ideal,J,SI1
10086607,430,0.3,0,1433,Ideal,I,SI1
10083440,430,0.3,0,1433,Super Ideal,I,SI2
10081905,430,0.3,0,1433,Ideal,J,SI2
10083628,430,0.3,0,1433,Super Ideal,I,SI2
10084616,430,0.3,0,1433,Very Good,J,SI2
10085191,430,0.3,0,1433,Ideal,J,SI2
10086398,430,0.32,0,1344,Super Ideal,J,SI2
10085647,430,0.32,0,1344,Super Ideal,J,SI1
10086613,430,0.3,0,1433,Very Good,I,SI2
10035452,430,0.3,0,1433,Very Good,I,SI1
10082500,430,0.3,0,1433,Super Ideal,J,SI1
10086205,440,0.31,0,1419,Ideal,I,VS2
10082162,440,0.3,0,1467,Ideal,J,VS2
10084578,440,0.3,0,1467,Super Ideal,J,SI1
10086346,440,0.3,0,1467,Very Good,J,SI1
10073135,440,0.3,0,1467,Good,H,SI2
10086324,440,0.31,0,1419,Ideal,I,VS2
10082566,440,0.3,0,1467,Very Good,F,SI2
10082795,440,0.3,0,1467,Ideal,H,SI2
10083928,440,0.3,0,1467,Very Good,J,SI1
10083162,440,0.3,0,1467,Ideal,I,SI2
10084180,440,0.3,0,1467,Super Ideal,H,SI2
10080402,440,0.3,0,1467,Good,I,VS2
9909069,440,0.3,0,1467,Good,H,SI1
10000634,440,0.3,0,1467,Very Good,I,VS2
10083476,440,0.3,0,1467,Super Ideal,I,VS2
10084896,440,0.3,0,1467,Super Ideal,I,SI1
10086764,440,0.3,0,1467,Super Ideal,I,SI2
10082433,440,0.3,0,1467,Very Good,I,SI1
10083849,440,0.3,0,1467,Super Ideal,J,SI2
10086104,440,0.3,0,1467,Very Good,G,SI2
10084788,440,0.33,0,1333,Ideal,J,SI1
10082121,440,0.3,0,1467,Ideal,F,SI2
10085645,440,0.3,0,1467,Very Good,J,VS2
10086243,440,0.3,0,1467,Super Ideal,J,SI2
10083105,450,0.32,0,1406,Super Ideal,J,VS2
10086464,450,0.3,0,1500,Super Ideal,J,VS2
10082707,450,0.3,0,1500,Very Good,F,SI2
10083633,450,0.31,0,1452,Super Ideal,J,VS2
10083837,450,0.3,0,1500,Very Good,E,SI2
10082919,450,0.3,0,1500,Ideal,J,SI2
10082558,450,0.3,0,1500,Very Good,I,SI1
10061739,450,0.3,0,1500,Very Good,J,VS2
10084607,450,0.3,0,1500,Very Good,H,SI1
10082925,450,0.31,0,1452,Ideal,I,VS2
10084382,450,0.3,0,1500,Very Good,E,SI2
10082044,450,0.3,0,1500,Super Ideal,I,VS2
10082670,450,0.31,0,1452,Super Ideal,F,SI2
10086257,450,0.3,0,1500,Very Good,J,SI1
10082830,450,0.3,0,1500,Super Ideal,J,SI1
10083103,450,0.3,0,1500,Super Ideal,J,SI1
10027538,450,0.31,0,1452,Super Ideal,J,SI2
10063065,450,0.3,0,1500,Ideal,J,SI1
10083605,450,0.3,0,1500,Ideal,J,SI2
10082891,450,0.3,0,1500,Super Ideal,I,SI2
10083439,450,0.31,0,1452,Ideal,J,VVS1
10086601,450,0.3,0,1500,Super Ideal,J,SI2
10086748,450,0.3,0,1500,Super Ideal,I,SI1
10084980,450,0.3,0,1500,Super Ideal,I,SI1
10084285,450,0.3,0,1500,Very Good,J,SI1
10086206,450,0.3,0,1500,Very Good,J,SI2
10085674,450,0.3,0,1500,Ideal,E,SI2
10086650,450,0.3,0,1500,Very Good,I,SI2
10086497,450,0.3,0,1500,Ideal,J,SI1
10086426,450,0.3,0,1500,Ideal,J,SI2
10083097,450,0.3,0,1500,Ideal,I,SI2
10085768,450,0.3,0,1500,Very Good,I,SI1
10083553,450,0.3,0,1500,Ideal,J,VS1
10085650,450,0.33,0,1364,Super Ideal,J,SI1
10085263,450,0.3,0,1500,Very Good,I,SI1
10083491,450,0.32,0,1406,Ideal,I,VS2
10082913,450,0.3,0,1500,Super Ideal,J,SI2
10084613,450,0.3,0,1500,Very Good,H,SI1
